time,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,shortwave_radiation,weather_code
2026-01-15T00:00,25.4,92,0.1,1.9,,,0.0,51
2026-01-15T01:00,25.0,93,0.0,0.7,,,0.0,3
2026-01-15T02:00,24.6,92,0.0,7.9,,,0.0,3
2026-01-15T03:00,24.3,92,0.3,2.3,,,0.0,51
2026-01-15T04:00,23.9,94,0.4,1.5,,,0.0,51
2026-01-15T05:00,23.7,93,0.3,0.7,,,0.0,51
2026-01-15T06:00,23.6,92,0.1,2.7,,,0.0,51
2026-01-15T07:00,23.2,96,0.0,1.5,,,0.0,3
2026-01-15T08:00,22.9,98,0.0,3.7,,,16.0,3
2026-01-15T09:00,24.2,94,0.1,1.8,,,124.0,51
2026-01-15T10:00,27.0,81,0.0,0.8,,,414.0,2
2026-01-15T11:00,29.1,68,0.0,2.3,,,629.0,1
2026-01-15T12:00,30.5,61,0.2,2.4,,,747.0,51
2026-01-15T13:00,31.2,58,0.3,2.9,,,839.0,51
2026-01-15T14:00,31.6,57,0.1,3.8,,,730.0,51
2026-01-15T15:00,32.2,55,0.0,3.2,,,837.0,1
2026-01-15T16:00,31.9,56,0.0,3.8,,,649.0,1
2026-01-15T17:00,31.5,56,0.0,4.5,,,503.0,3
2026-01-15T18:00,30.7,58,0.0,6.5,,,303.0,3
2026-01-15T19:00,29.7,63,0.0,4.4,,,116.0,3
2026-01-15T20:00,28.4,71,0.0,5.8,,,4.0,1
2026-01-15T21:00,27.8,77,0.0,3.1,,,0.0,0
2026-01-15T22:00,27.2,82,0.0,3.5,,,0.0,3
2026-01-15T23:00,26.5,85,0.0,2.2,,,0.0,0
2026-01-16T00:00,25.6,88,0.0,3.9,,,0.0,1
2026-01-16T01:00,25.0,88,0.0,3.8,,,0.0,0
2026-01-16T02:00,25.0,89,0.0,2.3,,,0.0,0
2026-01-16T03:00,24.7,88,0.0,2.7,,,0.0,1
2026-01-16T04:00,24.4,89,0.0,2.0,,,0.0,3
2026-01-16T05:00,24.2,90,0.0,0.9,,,0.0,1
2026-01-16T06:00,24.0,90,0.0,0.4,,,0.0,3
2026-01-16T07:00,23.8,90,0.1,0.3,,,0.0,51
2026-01-16T08:00,24.3,91,0.0,1.9,,,17.0,3
2026-01-16T09:00,26.0,84,0.0,1.5,,,182.0,2
