location,latitude,longitude,timestamp,temperature_c,relative_humidity_pct,apparent_temperature_c,rain_mm,weather_code,surface_pressure_hpa,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,shortwave_radiation_wm2,soil_temperature_0_7cm_c,soil_moisture_0_7cm_m3m3
Perlis,6.4449,100.2048,2026-01-17T00:00,25.7,82,28.6,0.0,0,1010.1,15.0,43,9,0.0,29.7,0.184
Perlis,6.4449,100.2048,2026-01-17T01:00,25.3,84,28.3,0.0,0,1009.7,14.9,45,0,0.0,29.0,0.184
Perlis,6.4449,100.2048,2026-01-17T02:00,24.7,85,27.6,0.0,0,1009.3,14.5,48,0,0.0,28.6,0.18
Perlis,6.4449,100.2048,2026-01-17T03:00,24.2,87,27.2,0.0,0,1009.0,13.5,48,4,0.0,28.0,0.18
Perlis,6.4449,100.2048,2026-01-17T04:00,23.9,88,27.0,0.0,0,1008.2,11.7,53,8,0.0,27.5,0.18
Perlis,6.4449,100.2048,2026-01-17T05:00,23.5,90,26.7,0.0,0,1008.1,11.3,48,2,0.0,27.0,0.18
Perlis,6.4449,100.2048,2026-01-17T06:00,23.2,91,26.2,0.0,0,1008.1,12.0,49,6,0.0,26.6,0.18
Perlis,6.4449,100.2048,2026-01-17T07:00,23.0,91,25.9,0.0,0,1008.3,12.8,48,4,0.0,26.3,0.18
Perlis,6.4449,100.2048,2026-01-17T08:00,23.7,89,26.5,0.0,0,1008.5,13.9,48,9,7.0,26.1,0.182
Perlis,6.4449,100.2048,2026-01-17T09:00,25.5,80,28.3,0.0,0,1009.5,13.4,43,10,143.0,26.6,0.182
Perlis,6.4449,100.2048,2026-01-17T10:00,28.0,66,30.4,0.0,1,1010.2,13.5,47,20,365.0,28.1,0.182
Perlis,6.4449,100.2048,2026-01-17T11:00,30.0,54,32.2,0.0,2,1009.9,12.5,44,60,584.0,30.1,0.182
Perlis,6.4449,100.2048,2026-01-17T12:00,31.8,48,35.1,0.0,1,1009.3,10.3,33,27,771.0,32.5,0.182
Perlis,6.4449,100.2048,2026-01-17T13:00,33.0,42,37.0,0.0,1,1008.6,7.9,17,48,876.0,34.8,0.182
Perlis,6.4449,100.2048,2026-01-17T14:00,33.1,40,37.0,0.0,2,1007.4,6.4,350,54,884.0,36.8,0.184
